LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
33.76531667,33.76531667,-86.92241389,-86.92241389
34.03213333,34.03213333,-87.51341111,-87.51341111
33.92608889,33.92608889,-87.32010556,-87.32010556
34.09851667,34.09851667,-86.18638333,-86.18638333
33.27839444,33.27839444,-87.53318333,-87.53318333
34.60980278,34.60980278,-86.27383611,-86.27383611
33.27077778,33.27077778,-87.49596944,-87.49596944
30.568325,30.568325,-87.80861389,-87.80861389
34.59092778,34.59092778,-86.08026111,-86.08026111
34.73157778,34.73157778,-86.95716667,-86.95716667
33.59156944,33.59156944,-86.13719444,-86.13719444
31.36481944,31.36481944,-87.05968333,-87.05968333
31.45116111,31.45116111,-86.97065278,-86.97065278
33.39251667,33.39251667,-86.79774167,-86.79774167
34.48124444,34.48124444,-87.27271389,-87.27271389
33.24540833,33.24540833,-87.67288889,-87.67288889
30.68923889,30.68923889,-88.12165278,-88.12165278
34.61205278,34.61205278,-85.73717222,-85.73717222
33.452925,33.452925,-86.92267778,-86.92267778
30.74043056,30.74043056,-88.22565,-88.22565
32.65635,32.65635,-86.11427778,-86.11427778
34.80085556,34.80085556,-86.67793889,-86.67793889
32.11645,32.11645,-88.11640833,-88.11640833
32.71006944,32.71006944,-85.78557778,-85.78557778
34.22150833,34.22150833,-86.74893611,-86.74893611
32.83255278,32.83255278,-85.57015278,-85.57015278
30.82430556,30.82430556,-87.84149167,-87.84149167
32.87806667,32.87806667,-87.60954444,-87.60954444
34.27286111,34.27286111,-86.33757778,-86.33757778
33.96630833,33.96630833,-86.42723056,-86.42723056
33.68211667,33.68211667,-86.53661111,-86.53661111
32.79388889,32.79388889,-85.23793889,-85.23793889
34.62380556,34.62380556,-86.90087222,-86.90087222
33.02632222,33.02632222,-87.74465,-87.74465
32.61631944,32.61631944,-85.40205,-85.40205
32.41383889,32.41383889,-86.35205278,-86.35205278
34.12206944,34.12206944,-85.98179722,-85.98179722
34.63026389,34.63026389,-86.90161667,-86.90161667
33.61298333,33.61298333,-85.67724167,-85.67724167
33.75406667,33.75406667,-86.47983333,-86.47983333
34.18615833,34.18615833,-88.0976,-88.0976
32.79608611,32.79608611,-85.235725,-85.235725
33.39989167,33.39989167,-86.78705278,-86.78705278
33.54484167,33.54484167,-86.78510833,-86.78510833
33.37140833,33.37140833,-86.77816667,-86.77816667
33.50601667,33.50601667,-86.84239444,-86.84239444
33.49207222,33.49207222,-86.86843333,-86.86843333
34.33573889,34.33573889,-86.90218889,-86.90218889
34.65268611,34.65268611,-86.87941111,-86.87941111
34.4723,34.4723,-86.58560833,-86.58560833
30.82260833,30.82260833,-87.77369722,-87.77369722
30.67928611,30.67928611,-88.12766944,-88.12766944
33.52000833,33.52000833,-86.91558056,-86.91558056
31.01898889,31.01898889,-87.86078056,-87.86078056
34.636325,34.636325,-87.64894722,-87.64894722
34.01842778,34.01842778,-85.99315,-85.99315
33.79984722,33.79984722,-86.86974167,-86.86974167
33.52098889,33.52098889,-86.78470833,-86.78470833
33.90198333,33.90198333,-87.14729167,-87.14729167
32.88655,32.88655,-85.87186667,-85.87186667
32.32597778,32.32597778,-86.34561111,-86.34561111
32.27263611,32.27263611,-85.30445,-85.30445
31.08746111,31.08746111,-85.95170556,-85.95170556
33.74816389,33.74816389,-86.68436944,-86.68436944
33.60011944,33.60011944,-85.48325833,-85.48325833
32.54910278,32.54910278,-85.52883333,-85.52883333
34.85608056,34.85608056,-87.05825,-87.05825
34.81513333,34.81513333,-87.68669444,-87.68669444
